training_step,mspm_bin_reward,mspm_smoothed_reward,mspm_observations,spm_bin_reward,spm_smoothed_reward,spm_observations
5000,-0.08935483870967742,-0.06913994692736102,62,-0.10615256124721983,-0.07866540942320174,7184
15000,-0.06621621621621625,-0.06810842571815605,74,-0.07953506595272332,-0.07596481643184753,7657
25000,-0.05548387096774197,-0.0669500791869909,62,-0.07181830399139846,-0.07404206171613625,7441
35000,-0.07333333333333333,-0.06526100678861704,60,-0.0704793944491166,-0.0726422400828618,7134
45000,-0.06131147540983611,-0.06278590321508912,61,-0.0653417214755505,-0.07142946744414175,6994
55000,-0.0629508196721312,-0.059689131075398395,61,-0.06246185147507655,-0.07010005453431407,6881
65000,-0.060000000000000046,-0.053988941322077696,63,-0.0625055334218685,-0.0652345739259046,6777
75000,-0.05343750000000004,-0.05063202558280903,64,-0.06284348864994066,-0.06305831569275261,6696
85000,-0.04298507462686569,-0.048201285544858356,67,-0.061727286334381404,-0.061818058327320666,6681
95000,-0.031818181818181836,-0.043882877584659356,66,-0.05813533834586492,-0.06105617300075579,6650
105000,-0.0323529411764706,-0.03993083452128769,68,-0.05749775516312508,-0.06041349689265675,6682
115000,-0.03264705882352942,-0.0360769290246628,68,-0.05777248362120343,-0.060172689695552485,6716
125000,-0.03117647058823531,-0.03744535007729438,68,-0.05941573033707905,-0.06012491371636406,6675
135000,-0.03014925373134329,-0.03999903597473027,67,-0.0628605411834677,-0.059830030615102156,6726
145000,-0.021791044776119407,-0.038686035758420514,67,-0.05891496039456028,-0.05993598804736079,6691
155000,-0.02441176470588236,-0.03828682627225451,68,-0.060053779504033906,-0.0601585859874821,6694
165000,-0.07368421052631584,-0.037486314763303094,76,-0.0620277736299841,-0.06069203618073565,6697
175000,-0.07897435897435902,-0.037117131269009854,78,-0.05989465763732172,-0.060802116016772725,6645
185000,-0.029855072463768124,-0.037651658123229806,69,-0.0627868606569677,-0.06069860692091965,6667
195000,-0.027826086956521747,-0.03681855093191366,69,-0.06036131774707802,-0.06053365592007892,6587
205000,-0.024347826086956525,-0.03585156766642294,69,-0.0628322570956606,-0.06065591586148418,6659
215000,-0.028955223880597028,-0.03394770462867053,67,-0.058873281981574176,-0.06059451974302632,6621
225000,-0.0365217391304348,-0.02813152238200909,69,-0.05838063937854829,-0.06050301967587002,6694
235000,-0.02181818181818182,-0.02181617603681199,66,-0.06121103117506042,-0.060545821614557974,6672
245000,-0.012121212121212121,-0.019613277486087353,66,-0.060137559808612906,-0.06017025913419398,6688
255000,-0.005373134328358209,-0.017648850608616994,67,-0.05943981831945532,-0.06030021836414158,6605
265000,-0.01552238805970149,-0.016079739641712387,67,-0.06111277295842104,-0.06006766329541015,6686
275000,-0.01582089552238806,-0.01387078441783179,67,-0.06032267702420128,-0.06019922848456721,6694
285000,-0.00782608695652174,-0.012161467647645455,69,-0.05903123585332774,-0.059957425665361594,6627
295000,-0.008181818181818182,-0.011950663958580895,66,-0.06166091004655405,-0.05991272704223762,6659
305000,-0.00865671641791045,-0.011216154686758191,67,-0.06050670640834621,-0.0600174608390215,6710
315000,-0.006865671641791046,-0.012443547136275313,67,-0.06018893387314486,-0.06051615510492453,6669
325000,-0.01942857142857143,-0.011607726240752925,70,-0.05596261118649211,-0.06032138237290112,6633
335000,-0.019710144927536234,-0.011100263554185762,69,-0.0607640449438207,-0.05999482938474532,6675
345000,-0.004776119402985075,-0.010675863813757467,67,-0.06118489777645173,-0.05953497357550939,6701
355000,-0.01764705882352941,-0.01138709376028153,68,-0.06442676097848568,-0.05942151414980139,6786
365000,-0.007164179104477613,-0.012727304471431663,67,-0.059165045638186795,-0.05945311725616202,6683
375000,-0.010746268656716417,-0.01236909551620778,67,-0.05705714714264319,-0.05935770473906512,6667
385000,-0.003582089552238806,-0.011367414843938873,67,-0.05443267776096845,-0.05964485979755109,6610
395000,-0.015294117647058821,-0.009638824593609494,68,-0.06052631578947412,-0.05992513746906077,6688
405000,-0.02205882352941177,-0.01664173213383047,68,-0.06082273747195258,-0.05998945148602489,6685
415000,-0.003283582089552239,-0.02159702625147753,67,-0.059234808702175956,-0.05968252199451122,6665
425000,-0.009411764705882354,-0.02205707892926507,68,-0.05883416177135154,-0.05999150028740767,6639
435000,-0.0024242424242424242,-0.021103664184805547,66,-0.06356682165891762,-0.06014837183176924,6667
445000,-0.07480519480519485,-0.0213424701549548,77,-0.06182803794609296,-0.06101143733909812,6641
455000,-0.06720000000000004,-0.019813058390248918,75,-0.06135746606334889,-0.060924193269556316,6630
465000,-0.011764705882352941,-0.018061721491853196,68,-0.06225482856715131,-0.060966507722420994,6679
475000,-0.0012121212121212121,-0.018187908737443425,66,-0.05862586258625904,-0.06171168892942588,6666
485000,-0.005970149253731343,-0.017428550448673374,67,-0.06306333283425715,-0.061830371388177444,6679
495000,0.0,-0.017186126206249132,66,-0.05965387509405611,-0.06142756762899433,6645
505000,-0.004545454545454545,-0.010183218666028152,66,-0.06124588200059947,-0.06187740157646586,6678
515000,-0.004545454545454545,-0.003702024636177402,66,-0.06668662077222465,-0.06180698310917807,6682
525000,-0.0018181818181818182,-0.00360018091361375,66,-0.06002098635886722,-0.061712168510219545,6671
535000,0.0,-0.003598371777476255,66,-0.05953878406708641,-0.062036762510395985,6678
545000,-0.004776119402985075,-0.003359565807327001,67,-0.06632637742080837,-0.06171901095773955,6661
555000,-0.0023880597014925373,-0.0035983717774762543,67,-0.06065328139047094,-0.06164798119143121,6674
565000,-0.010746268656716417,-0.0031438263229308003,67,-0.06130668257756615,-0.06158955840490514,6704
575000,-0.0011940298507462687,-0.0028123577914622687,67,-0.06187180258802341,-0.06085274192478768,6646
585000,-0.003582089552238806,-0.0031081515499425945,67,-0.059885817307692726,-0.06103023390596359,6656
595000,-0.0023880597014925373,-0.003227554535017221,67,-0.05894357743097279,-0.061083253085099945,6664
605000,0.0,-0.0029887485648679678,67,-0.060661654135338805,-0.06090979441383557,6650
615000,-0.0012307692307692308,-0.003466360505166475,65,-0.05931845597104985,-0.06100176292550623,6632
625000,-0.004776119402985075,-0.0023917336394948334,67,-0.06179590617062649,-0.061208934513240686,6693
635000,-0.0011940298507462687,-0.002860565948537854,67,-0.06006897585844996,-0.061376279310534146,6669
645000,-0.0023880597014925373,-0.002741162963463227,67,-0.06459179070816472,-0.061440210708046984,6651
655000,-0.007164179104477613,-0.0025023569933139735,67,-0.0615729665071775,-0.06133010777264204,6688
665000,0.0,-0.003218774903761735,66,-0.06337839845491065,-0.06156662722486493,6731
675000,-0.0058823529411764705,-0.003216910101896933,68,-0.06354525056095792,-0.061739544945759686,6685
685000,-0.0023880597014925373,-0.0027392981615984254,67,-0.060525131282821075,-0.0618511590589262,6665
695000,0.0,-0.0030975071168223055,67,-0.05784254807692339,-0.06172276057969234,6656
705000,-0.007164179104477613,-0.004713773610441168,67,-0.06302684865756765,-0.06123409008546332,6667
715000,-0.0012121212121212121,-0.004713773610441168,66,-0.06104763317999751,-0.06108245915712522,6739
725000,0.0,-0.005549594505963556,66,-0.06291204730229173,-0.06093332105556028,6765
735000,-0.004776119402985075,-0.005324995575482273,67,-0.05878499106611121,-0.06069899832020241,6716
745000,-0.01855072463768116,-0.006145013134744784,69,-0.05970508576587464,-0.0606115023843258,6646
755000,-0.007164179104477613,-0.006387437377169026,67,-0.06005665722379653,-0.0609371967848797,6707
765000,-0.008358208955223882,-0.005671019466721266,67,-0.0618870174392612,-0.06066573377442171,6709
775000,-0.0036363636363636364,-0.007432160286685615,66,-0.06120202320737927,-0.06052919587608626,6722
785000,-0.010588235294117647,-0.0076745845291098565,68,-0.05965017192405486,-0.06005125311433764,6689
795000,-0.0024242424242424242,-0.008608737294693702,66,-0.061099492082462355,-0.060350151576389344,6694
805000,0.0,-0.007930135419160881,66,-0.06031221855298759,-0.06059711931202934,6662
815000,-0.018823529411764708,-0.00930067403045225,68,-0.05968225419664315,-0.060675799980164535,6672
825000,-0.0024242424242424242,-0.011436281706358433,66,-0.0581326196848057,-0.06074469420481708,6726
835000,-0.014117647058823526,-0.011908466238244458,68,-0.06177397568662822,-0.060176532854104806,6663
845000,-0.011764705882352941,-0.010849642708832694,68,-0.06217476312227458,-0.06032877560785551,6649
855000,-0.020869565217391306,-0.010698127557317541,69,-0.06084346390514834,-0.06054287853231076,6663
865000,-0.02971428571428572,-0.010698127557317541,70,-0.06257595968578682,-0.06043249312212033,6747
875000,-0.008358208955223882,-0.009179410979777435,67,-0.055520409700256346,-0.06047414942127625,6639
885000,0.0,-0.010231104384412016,66,-0.061172599461561984,-0.06074417049443724,6686
895000,-0.0009090909090909091,-0.011562196821386806,66,-0.06324052132701481,-0.06060670141206768,6752
905000,0.0,-0.010749362596787876,67,-0.059208364451083365,-0.06017544551292635,6695
915000,-0.0036363636363636364,-0.009603582545636981,66,-0.06009881718820231,-0.06032424266451527,6679
925000,-0.012941176470588234,-0.008043918680090762,68,-0.06083283041641571,-0.06032593899447961,6628
935000,-0.027428571428571438,-0.007208097784568374,70,-0.06039928486293258,-0.060722494072589527,6712
945000,-0.0036363636363636364,-0.007208097784568374,66,-0.05786220413086127,-0.060226031974931794,6633
955000,-0.009411764705882354,-0.007117188693659282,68,-0.06233143542103745,-0.05991400991741832,6674
965000,-0.014117647058823526,-0.007117188693659282,68,-0.06259292298543032,-0.05972288698663432,6726
975000,0.0,-0.007245860022330611,66,-0.05948596048135544,-0.059935758328429255,6731
985000,0.0,-0.006557802981332394,65,-0.056207978484984655,-0.05986356807647444,6693
995000,0.0,-0.005757802981332392,67,-0.06012030075188018,-0.059716952888453204,6650
1005000,0.0,-0.006089818791609073,66,-0.057297135143243215,-0.05998887376170543,6667
1015000,-0.004923076923076923,-0.0060629280353065515,65,-0.0622275306061517,-0.059988483668911886,6698
1025000,-0.006060606060606061,-0.005565449043709913,66,-0.06011092789686755,-0.05933577327014451,6671
1035000,-0.01942857142857143,-0.005683096102533443,70,-0.058933132982720245,-0.05904681577622587,6655
1045000,-0.006956521739130435,-0.005683096102533443,69,-0.060581412863383595,-0.059398219392381456,6639
1055000,-0.009142857142857144,-0.005683096102533443,70,-0.06232753449310195,-0.0593762360673066,6668
1065000,-0.009142857142857144,-0.005925520344957686,70,-0.05606581899775653,-0.060201093938660175,6685
1075000,-0.0011764705882352942,-0.0056756368950742365,68,-0.056596385542169024,-0.0598950945704216,6640
1085000,0.0,-0.00506957628901363,67,-0.059722014646540644,-0.059432214457214305,6691
1095000,0.0,-0.0035744803401863367,68,-0.059900467501131545,-0.059875771581898565,6631
1105000,-0.0024242424242424242,-0.002878828166273294,66,-0.06554571385677899,-0.059895210046945604,6661
1115000,-0.0024242424242424242,-0.0023281788156239427,66,-0.059167536923765966,-0.06013243126609025,6703
1125000,0.0,-0.0019512065341740492,68,-0.05548212676479458,-0.06074634533285185,6658
1135000,-0.004477611940298508,-0.0023960594753505197,67,-0.06336870422956271,-0.061139534714763945,6691
1145000,0.0,-0.0023960594753505197,65,-0.06077579751385406,-0.0612389750411547,6677
1155000,-0.0036363636363636364,-0.0026729825522735966,66,-0.06469974668454842,-0.061080268003960235,6711
1165000,-0.005373134328358209,-0.0024305583098493547,67,-0.062204959665372546,-0.06054161492433437,6694
1175000,-0.005625,-0.0021881340674251124,64,-0.06052827936128987,-0.06085897694432141,6701
1185000,0.0,-0.002311210990502035,66,-0.060716417910448295,-0.0613647043009895,6700
1195000,-0.002769230769230769,-0.002105874038896427,65,-0.05831339712918706,-0.0608515420847202,6688
1205000,0.0,-0.002105874038896427,64,-0.060159183060520115,-0.06073665788086795,6659
1215000,0.0,-0.0017422376752600631,65,-0.06234115712363642,-0.06037955002956892,6689
1225000,-0.0012307692307692308,-0.0012049242424242424,65,-0.06053940033147559,-0.060091055255993245,6637
1235000,-0.0024242424242424242,-0.000827039627039627,66,-0.058237082066869734,-0.06045978135380299,6580
1245000,0.0,-0.000827039627039627,66,-0.05962695547533143,-0.0602650303819884,6648
1255000,0.0,-0.0005501165501165501,66,-0.06112866817155812,-0.060334200108686155,6645
1265000,0.0,-0.0005501165501165501,66,-0.059320011929615765,-0.06031199155252187,6706
1275000,-0.0018461538461538461,-0.0005501165501165501,65,-0.06421554033938738,-0.06008476309872992,6718
1285000,0.0,-0.0007962703962703963,66,-0.05876890819230239,-0.06016264531431489,6677
1295000,0.0,-0.001031458094144661,66,-0.05900509439616467,-0.06061209909208705,6674
1305000,0.0,-0.0012667522117917201,67,-0.05993709749887723,-0.06048888555027597,6677
1315000,0.0,-0.0012667522117917201,66,-0.0600688725857169,-0.06035128322425416,6679
1325000,-0.0036923076923076922,-0.0012667522117917201,65,-0.061318222487325366,-0.06048141220880743,6706
1335000,-0.004776119402985075,-0.0012033489483884569,67,-0.06273161984459114,-0.06039438839629304,6692
1345000,-0.0023529411764705885,-0.0012033489483884569,68,-0.05839482005722072,-0.060291705519945483,6641
1355000,0.0,-0.0012033489483884569,67,-0.05975264491134004,-0.06036514427616676,6711
1365000,0.0,-0.0013370543870982856,66,-0.0606213017751484,-0.06041270502919893,6760
1375000,-0.0012121212121212121,-0.0015041861854855712,66,-0.0633453022142435,-0.060455684084634184,6684
1385000,0.0,-0.0011915973987966966,66,-0.0577420794288268,-0.06033246431282115,6723
1395000,0.0,-0.0005941770647653001,66,-0.05973948195837748,-0.05993260505752616,6679
