price,episodes,mean_net_reward,mean_game_reward,mean_payments,mean_economic_decisions,mean_game_steps,mean_trade_opportunities,mean_purchases,mean_acceptance_rate,mean_shots_fired,mean_final_ammo,mean_fired_fraction_of_purchases,mean_reward_per_purchased_bullet,mean_threshold,mean_offered_price,positive_net_reward_episodes,bought_all_five_episodes,fired_all_purchased_episodes,aggregate_fired_fraction_of_purchases,max_absolute_accounting_error,all_five_counterfactual_net_reward
0.0,20,4.45,4.45,0.0,5.0,161.0,5.0,5.0,1.0,5.0,0.0,1.0,0.89,0.8768942952156067,0.0,20,20,20,1.0,0.0,4.45
0.1,20,3.9499999925494196,4.45,0.5000000074505806,5.0,161.0,5.0,5.0,1.0,5.0,0.0,1.0,0.89,0.8768942952156067,0.10000000149011612,20,20,20,1.0,0.0,3.95
0.2,20,3.449999985098839,4.45,1.0000000149011612,5.0,161.0,5.0,5.0,1.0,5.0,0.0,1.0,0.89,0.8768942952156067,0.20000000298023224,20,20,20,1.0,0.0,3.45
0.3,20,2.9499999403953554,4.45,1.5000000596046448,5.0,161.0,5.0,5.0,1.0,5.0,0.0,1.0,0.89,0.8768942952156067,0.30000001192092896,20,20,20,1.0,0.0,2.95
0.4,20,2.449999970197678,4.45,2.0000000298023224,5.0,161.0,5.0,5.0,1.0,5.0,0.0,1.0,0.89,0.8768942952156067,0.4000000059604645,20,20,20,1.0,0.0,2.45
0.5,20,1.95,4.45,2.5,5.0,161.0,5.0,5.0,1.0,5.0,0.0,1.0,0.89,0.8768942952156067,0.5,20,20,20,1.0,0.0,1.9500000000000002
0.6,20,1.4499998807907104,4.45,3.0000001192092896,5.0,161.0,5.0,5.0,1.0,5.0,0.0,1.0,0.89,0.8768942952156067,0.6000000238418579,20,20,20,1.0,0.0,1.4500000000000002
0.7,20,0.9500000596046447,4.45,3.4999999403953552,5.0,161.0,5.0,5.0,1.0,5.0,0.0,1.0,0.89,0.8768942952156067,0.699999988079071,20,20,20,1.0,0.0,0.9500000000000002
0.8,20,0.44999994039535524,4.45,4.000000059604645,5.0,161.0,5.0,5.0,1.0,5.0,0.0,1.0,0.89,0.8768942952156067,0.800000011920929,9,20,20,1.0,0.0,0.4500000000000002
0.9,20,0.0,0.0,0.0,5.0,253.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8108280062675476,0.8999999761581421,0,0,20,1.0,0.0,-0.04999999999999982
1.0,20,0.0,0.0,0.0,5.0,253.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8108280062675476,1.0,0,0,20,1.0,0.0,-0.5499999999999998
